CID,Brain,Kolb-X,Kolb-Y,Intelligence-1,Intelligence-2,Personality 
C110,BL,9.0,-6,Inter,Lin,SCOAI
C1100,BL,3.0,2,Mu,Vi,SLUAI
C1101,FL,6.0,1,Na,Intra,RLOAN
C1102,FL,-3.0,5,Lin,Vi,SCOAN
C1103,BR,-12.0,5,Na,Inter,SLOAN
C1104,FL,2.0,-8,Lo,Bo,SLUAI
C1105,BL,7.0,-6,Na,Lo,RCOAI
C1106,BL,-1.0,-9,Inter,Mu,RLUAI
C1107,FR,-4.0,-1,Lin,Lin,RCOAN
C1108,FR,2.0,-8,Na,Lo,RLUEN
C1109,FL,8.0,3,Inter,Inter,RLOAN
C111,BL,4.0,5,Inter,Inter,RLUEN
C1110,BL,-5.0,-1,Mu,Lo,RCOAN
C1111,FL,-3.0,-5,Na,Lo,RCUAI
C1112,BR,-2.0,3,Mu,Inter,SLUAI
C1113,BL,-3.0,-1,Lo,Intra,RCOEN
C1114,BL,0.0,1,Mu,Vi,RLOEN
C1115,FL,1.0,-2,Lo,Bo,RLUAN
C1116,BL,0.0,2,Na,Inter,SLOAI
C1117,BL,-2.0,-2,Inter,Lo,SLOAN
C1118,FL,-5.0,6,Mu,Lin,SCUAN
C1119,FL,1.0,1,Lo,Intra,RLOEN
C112,BR,2.0,-2,Mu,Bo,RCUAN
C1120,BR,-1.0,-5,Mu,Vi,SLOAN
C1121,FR,0.0,6,Mu,Lin,RCOAI
C1122,FL,-2.0,5,Mu,Intra,SLUAN
C1123,BL,-6.0,0,Mu,Bo,RLOEN
C1124,BR,-4.0,3,Inter,Lo,SCOEI
C1125,BL,-2.0,0,Mu,Vi,SCOAI
C1126,FL,-3.0,-7,Mu,Vi,SLOAI
C1127,FL,2.0,-1,Mu,Intra,SCOAN
C1128,BL,7.0,-4,Mu,Vi,SLUEN
C1129,FL,-1.0,0,Na,Inter,SLUAI
C113,BR,-8.0,-3,Lo,Intra,RCUEN
C1130,BL,-4.0,2,Lo,Lo,SCOAN
C1131,FL,3.0,-5,Mu,Lo,SCOAN
C1132,FL,-5.0,0,Lin,Intra,SLOAI
C1133,FL,-5.0,1,Lo,Inter,RCOAN
C1134,FL,-4.0,3,Intra,Mu,SLUEN
C1135,BL,1.0,1,Vi,Inter,SCUAI
C1136,BL,0.0,4,Lo,Lo,SCOAN
C1137,BL,-1.0,6,Mu,Intra,SCUAN
C1138,BL,3.0,-2,Lin,Lo,SCUAN
C1139,BR,0.0,6,Inter,Mu,SLOAN
C114,FL,15.0,11,Lo,Mu,SLUAN
C1140,FL,3.0,0,Mu,Lo,SLOEN
C1141,BR,2.0,-4,Mu,Vi,SLUAI
C1142,FL,2.0,6,Lo,Vi,SCOAN
C1143,FL,-2.0,7,Mu,Lo,SLOAN
C1144,FL,1.0,-1,Bo,Lo,RLOAN
C115,BR,-3.0,1,Inter,Bo,RLUAI
C116,FR,4.0,-1,Inter,Bo,SCOEN
C117,BR,-2.0,-6,Intra,Inter,RLUAI
C118,BR,-4.0,-4,Intra,Vi,SLUEN
C119,BR,-4.0,5,Lin,Mu,RCUAN
C12,FR,-5.0,3,Bo,Lo,SLOAN
C120,BL,-2.0,-11,Lin,Lo,SCOAI
C121,BR,-5.0,3,Na,Lin,RLUEN
C122,BR,-2.0,2,Intra,Lo,RLUEN
C123,BR,3.0,0,Lo,Intra,SCOAI
C124,FL,3.0,0,Mu,Lin,SCOAN
C125,FL,10.0,-1,Mu,Vi,RLOAN
C126,BL,10.0,-1,Mu,Vi,RLOAN
C127,FL,-1.0,-6,Mu,Lin,SCOAN
C128,FL,5.0,-2,Bo,Intra,SLOEN
C129,BL,5.0,-2,Mu,Lo,RCUEN
C13,BR,9.0,-1,Bo,Inter,SLUEN
C130,BR,5.0,-2,Lo,Intra,SLOEN
C131,FL,-2.0,4,Mu,Intra,SCOAN
C132,BL,-2.0,-3,Bo,Intra,RCOAI
C133,FL,9.0,3,Intra,Mu,SLOAN
C134,BL,5.0,1,Bo,Mu,SLOAN
C135,BR,3.0,2,Mu,Vi,SLOAN
C136,BL,4.0,-1,Lo,Vi,SLOAN
C137,BR,-3.0,-1,Lo,Vi,RLOAN
C138,FL,9.0,-7,Lo,Vi,SCOAN
C139,FL,5.0,2,Na,Bo,SCUAN
C14,BR,-4.0,-2,Lo,Lo,SCUEN
C140,BR,-3.0,5,Mu,Vi,SCUAN
C141,BR,3.0,-7,Lo,Lo,RCOAN
C142,BR,-3.0,1,Intra,Vi,RCUAN
C143,FR,0.0,-1,Inter,Lin,SCOAN
C144,FR,-5.0,4,Mu,Lin,SCOAI
C145,BL,10.0,-2,Inter,Bo,SLUAN
C146,BL,-11.0,4,Bo,Lin,SLOAN
C147,BR,2.0,-1,Lo,Vi,RLUEN
C148,FL,2.0,2,Intra,Inter,RLUAN
C149,BR,1.0,6,Intra,Intra,SCOAN
C15,FR,5.0,1,Lo,Inter,SCOAN
C150,BL,-2.0,-8,Lo,Inter,RLOEI
C151,BR,-2.0,7,Inter,Lin,SCOAI
C152,BR,2.0,2,Na,Lin,RLOEI
C153,BR,2.0,4,Bo,Vi,SCOAN
C154,BR,-7.0,-4,Lo,Bo,RLOAI
C155,BR,4.0,-3,Inter,Lo,RCOAN
C156,BL,-5.0,7,Mu,Mu,SCOAN
C157,BR,1.0,-1,Mu,Intra,SCOAN
C158,BR,1.0,1,Inter,Intra,SCOAN
C159,BR,-6.0,3,Inter,Mu,SCUAI
C16,BL,-3.0,3,Inter,Inter,SCOAI
C160,BL,-7.0,-2,Intra,Lin,SCOAN
C161,FL,-1.0,-1,Inter,Intra,SCOAN
C162,BR,-4.0,5,Bo,Intra,SCOAN
C163,BR,-5.0,12,Lo,Vi,SCOAN
C164,BR,-6.0,-1,Bo,Lin,SLOAN
C165,BL,-4.0,4,Mu,Lin,SCUAN
C166,FR,2.0,1,Lo,Lin,RLOAN
C167,BR,-4.0,-4,Lin,Lin,SCOAN
C168,FR,2.0,-4,Lin,Bo,SCOAI
C169,BL,-4.0,5,Intra,Intra,RCUAN
C17,BL,3.0,1,Bo,Mu,SCOAI
C170,BL,4.0,4,Lo,Vi,SCOAI
C171,BR,1.0,1,Bo,Vi,SLUAI
C172,BR,-1.0,5,Mu,Inter,SCUEI
C173,BL,9.0,8,Na,Lin,SCOAN
C174,BL,-8.0,-1,Lo,Vi,SCOEN
C175,BL,-5.0,0,Inter,Mu,SCOAN
C176,BR,9.0,2,Inter,Bo,RLUAN
C177,BL,6.0,3,Na,Lo,SCOAN
C178,BR,-6.0,10,Mu,Vi,SCUAN
C179,BR,-6.0,2,Lo,Inter,RCOAN
C18,BR,-2.0,-1,Inter,Vi,SCUAN
C180,BR,4.0,3,Lin,Lo,SLOAI
C181,BR,nan,-1,Na,Lo,RLUAN
C182,BR,5.0,5,Vi,Lo,SLOAN
C183,BR,2.0,-2,Lin,Lin,RLOAN
C184,FL,-2.0,-3,Intra,Mu,SCOAI
C185,FR,-7.0,3,Lo,Intra,RCOAN
C186,BL,11.0,1,Mu,Inter,RCOEN
C187,BR,-8.0,0,Mu,Inter,RCUAI
C188,BR,3.0,7,Lo,Lo,SLOAN
C189,BR,-4.0,5,Na,Inter,SCOAI
C19,FL,9.0,2,Vi,Bo,SLOAN
C190,BL,6.0,-8,Mu,Lin,RLOAI
C191,FL,-3.0,5,Lo,Mu,SCOAI
C192,BR,-2.0,-3,Lo,Lo,RCUEI
C193,FR,-10.0,1,Vi,Lin,SLUAN
C194,BR,5.0,-10,Mu,Mu,SCUEI
C195,FR,9.0,-5,Lo,Bo,SLUEI
C196,FL,3.0,2,Inter,Lo,RCUAN
C197,BL,-8.0,0,Na,Inter,SLOAN
C198,BR,-7.0,2,Lo,Bo,SLUEI
C199,BL,-1.0,-3,Lo,Inter,RCOAN
C2,BR,-5.0,5,Vi,Vi,SCOAN
C20,BR,2.0,4,Lo,Lin,SCOAN
C200,BR,-2.0,-3,Bo,Mu,SCOAN
C201,BR,-1.0,-1,Bo,Lo,RLUEI
