CID,Brain,Kolb-X,Kolb-Y,Intelligence-1,Intelligence-2,Personality 
C426,BL,5.0,-2,Lin,Bo,SCOAI
C427,BL,-6.0,-2,Na,Vi,SCOAN
C428,BR,-1.0,-5,Lin,Inter,SCUAI
C429,BL,-1.0,-4,Bo,Inter,RCUAN
C43,BL,-2.0,-3,Inter,Lo,SCOAI
C430,BL,-1.0,-7,Lin,Bo,RLUEN
C431,BL,1.0,-8,Lo,Intra,SLOEN
C432,FR,-5.0,-1,Intra,Lin,SCOAN
C433,FR,1.0,1,Intra,Lin,SCOAN
C434,FR,-5.0,-1,Intra,Mu,SCOAN
C435,BR,-6.0,-3,Lin,Mu,SCOEI
C436,BL,-7.0,0,Bo,Vi,SCOAN
C437,BL,-3.0,-6,Bo,Lo,RCUAI
C438,BL,5.0,-5,Mu,Inter,SLOAN
C439,BR,1.0,3,Inter,Intra,SCOAN
C44,BL,1.0,5,Bo,Vi,RCUAN
C440,FR,-3.0,2,Intra,Intra,RCUAN
C441,BR,2.0,-2,Lin,Lo,RCOAN
C442,FL,0.0,-3,Vi,Intra,SCOAI
C443,BR,-10.0,2,Lo,Inter,SCOEI
C444,BR,4.0,-2,Bo,Vi,SCOEI
C445,BR,3.0,4,Mu,Vi,RCOEN
C446,BR,8.0,3,Lin,Lo,RLUAN
C447,BR,-5.0,5,Intra,Lin,SCOEN
C448,BR,-7.0,0,Mu,Lo,SCOAI
C449,BR,-4.0,3,Mu,Inter,SCOAN
C45,BL,0.0,-4,Intra,Lin,SCUEI
C450,BR,4.0,2,Mu,Bo,SLUAN
C451,BL,-1.0,-2,Vi,Bo,SLUEN
C452,BR,5.0,-5,Intra,Mu,SCOAN
C453,BR,-1.0,0,Lo,Lo,SLOAN
C454,BR,-4.0,-3,Lin,Lo,RLUAI
C455,BR,-4.0,-1,Mu,Lo,SLOAN
C456,BR,-10.0,-7,Lo,Inter,RLOAI
C457,BR,-7.0,-3,Intra,Intra,SCUAN
C458,FR,-5.0,4,Na,Bo,SCOAI
C459,BR,1.0,-3,Vi,Lin,SCOAI
C46,BR,3.0,4,Inter,Vi,SLUAI
C460,BR,6.0,2,Lin,Lo,SCOAI
C461,BR,1.0,-3,Inter,Inter,SCOAI
C462,BR,1.0,3,Mu,Lo,SCOAI
C463,BL,4.0,3,Lin,Lin,SCOAN
C464,BL,5.0,-5,Lo,Lo,SLOAN
C465,FL,-4.0,2,Bo,Vi,RLUEN
C466,BR,3.0,-4,Lo,Lo,SCOAI
C467,BR,-8.0,11,Lo,Lo,SCOAN
C468,FL,-1.0,0,Vi,Lin,SCOAN
C469,BR,-5.0,1,Vi,Lo,SCUAN
C47,BR,4.0,1,Lo,Lo,RLUEN
C470,BL,4.0,12,Mu,Inter,RLUAN
C471,BR,-3.0,-1,Intra,Vi,SCOAN
C472,BL,1.0,-1,Bo,Inter,SCOAN
C473,BR,-5.0,1,Lo,Inter,SLOAN
C474,BR,6.0,2,Lo,Inter,SCOAI
C475,FL,2.0,5,Intra,Bo,SCOAI
C476,BR,-2.0,-3,Lin,Vi,RLOAN
C477,BL,5.0,3,Vi,Lo,RCUAI
C478,BR,-4.0,0,Vi,Lin,RLUEN
C479,FR,1.0,5,Mu,Inter,SCOAI
C48,BR,-5.0,1,Bo,Vi,RLUEN
C480,BL,0.0,3,Inter,Lo,RCUAI
C481,BR,-3.0,5,Lin,Intra,SCOAN
C482,BR,1.0,-1,Na,Inter,SCUAI
C483,FR,-2.0,-2,Lo,Intra,RCOAN
C484,BR,3.0,-3,Intra,Bo,SCOAI
C485,BR,-3.0,5,Mu,Lin,SCOAI
C486,BL,2.0,-2,Na,Lin,SCOAN
C487,BR,3.0,1,Lo,Intra,SCOAI
C488,BL,-2.0,-2,Inter,Intra,SCUAI
C489,BR,3.0,-2,Intra,Lin,SCOEI
C49,BR,1.0,-1,Bo,Vi,RLUEN
C490,BR,2.0,-1,Bo,Intra,SCOAN
C491,BL,-3.0,4,Bo,Lin,SCOAN
C492,BL,-4.0,-2,Bo,Inter,SCOAI
C493,BR,-3.0,4,Lin,Inter,RLUEI
C494,BR,3.0,7,Inter,Bo,RLOAN
C495,BL,1.0,1,Intra,Lo,SLOAN
C496,BR,-3.0,-2,Na,Lo,SLOEI
C497,BL,-9.0,0,Inter,Intra,SCOAN
C498,BR,9.0,-3,Vi,Lin,RCUEN
C499,BR,0.0,3,Mu,Lo,SCOAN
C5,BL,1.0,-1,Mu,Vi,RLUEN
C50,BL,1.0,-3,Lo,Intra,RLUEN
C500,FL,-1.0,0,Lin,Lin,SLUAI
C501,BR,-3.0,6,Lin,Lo,SCUAN
C502,FL,4.0,1,Intra,Mu,SCOAN
C503,BR,-6.0,-4,Na,Intra,SLUAN
C504,BL,-8.0,-3,Na,Lo,SCOAI
C505,BR,2.0,3,Mu,Inter,SCUAN
C506,FR,0.0,4,Lo,Bo,SCUAN
C507,BR,-6.0,-5,Lin,Lo,SCOAI
C508,BR,-7.0,-2,Mu,Bo,RCOAN
C509,BL,-8.0,0,Mu,Mu,SCOAN
C51,FR,-4.0,4,Mu,Mu,SCOAN
C510,BL,5.0,-1,Lo,Intra,RCOAN
C511,FR,-3.0,-4,Lin,Lo,RCOAN
C512,BL,-5.0,-3,Lo,Intra,SLOAI
C513,BR,-7.0,-7,Lo,Inter,SCOAN
C514,BL,-4.0,2,Bo,Vi,SCOAN
C515,BR,0.0,-8,Bo,Vi,SCOAN
C516,BL,4.0,-4,Lo,Vi,SCOAN
C517,BR,-3.0,3,Lin,Lo,SCOAI
C518,BR,5.0,0,Bo,Intra,RCUAN
C519,BL,3.0,1,Lin,Lin,RCUAN
C52,FL,-6.0,2,Lo,Lin,SCOAI
C520,BR,-9.0,4,Mu,Inter,RLOAN
C521,BL,-2.0,-1,Intra,Intra,RLUAI
C522,FL,-1.0,10,Lo,Intra,SCOAI
C523,FR,-4.0,-1,Mu,Bo,RLUAN
C524,FL,-9.0,-5,Mu,Lo,RLUEN
C525,BL,-3.0,7,Mu,Intra,SLOEN
C526,BR,0.0,3,Mu,Lo,SCOAN
C527,FL,-1.0,0,Lin,Lin,SLUAI
C528,BR,-3.0,6,Lin,Lo,SCUAN
C529,FL,4.0,1,Intra,Mu,SCOAN
C53,BL,9.0,-11,Lo,Inter,SLOEN
C530,BR,-6.0,-4,Na,Intra,SLUAN
C531,BL,-8.0,-3,Na,Lo,SCOAI
C532,BR,2.0,3,Mu,Inter,SCUAN
C533,FR,0.0,4,Lo,Bo,SCUAN
C534,BR,-6.0,-5,Lin,Lo,SCOAI
C535,BR,-7.0,-2,Mu,Bo,RCOAN
C536,BL,-8.0,0,Mu,Mu,SCOAN
C537,BL,5.0,-1,Lo,Intra,RCOAN
C538,FR,-3.0,-4,Lin,Lo,RCOAN
C539,BL,-5.0,-3,Lo,Intra,SLOAI
C54,BR,9.0,-1,Mu,Inter,SCOAI
C540,BR,-7.0,-7,Lo,Inter,SCOAN
C541,BL,-4.0,2,Bo,Vi,SCOAN
C542,BR,0.0,-8,Bo,Vi,SCOAN
C543,BL,4.0,-4,Lo,Vi,SCOAN
C544,BR,-3.0,3,Lin,Lo,SCOAI
C545,BR,5.0,0,Bo,Intra,RCUAN
C546,BL,3.0,1,Lin,Lin,RCUAN
C547,BR,-9.0,4,Mu,Inter,RLOAN
C548,BL,-2.0,-1,Intra,Intra,RLUAI
C549,FL,-1.0,10,Lo,Intra,SCOAI
C55,BR,-1.0,9,Lo,Lin,SCOAI
C550,FR,-4.0,-1,Mu,Bo,RLUAN
C551,FL,-9.0,-5,Mu,Lo,RLUEN
C552,BL,-3.0,7,Mu,Intra,SLOEN
C553,FL,-1.0,1,Lin,Mu,SCUAN
C554,FL,0.0,5,Bo,Vi,SLUAN
C555,FR,-1.0,1,Bo,Intra,SCOAI
C556,BL,-1.0,2,Mu,Mu,SCOAN
C557,FR,-8.0,-7,Mu,Bo,SCUAN
C558,FL,5.0,-10,Mu,Intra,RCUAN
C559,FR,3.0,3,Bo,Intra,SCOAI
C56,BR,-9.0,5,Mu,Lo,SCOAN
C560,FL,-4.0,2,Mu,Intra,SCOAN
C561,BR,8.0,1,Mu,Bo,RLUAN
C562,BR,6.0,1,Na,Mu,SCUAN
C563,FL,6.0,1,Mu,Mu,SCUAI
C564,FL,9.0,-2,Lo,Inter,SCOAN
C565,BL,9.0,-2,Bo,Inter,SLOAN
C566,FR,-4.0,1,Bo,Lo,SCUAN
C567,FL,2.0,5,Inter,Mu,SLOAI
C568,FL,0.0,4,Bo,Intra,SCUAN
C569,BL,-3.0,3,Bo,Intra,SCOAN
C57,FR,0.0,-1,Bo,Intra,SCUAN
C570,FL,1.0,-4,Bo,Inter,RCUEN
C571,FL,-4.0,7,Bo,Mu,RCOAN
C572,BR,9.0,4,Bo,Mu,SCOAN
C573,BL,4.0,-8,Lo,Mu,RCOAN
C574,BR,-4.0,0,Bo,Mu,SCUAI
C575,FL,1.0,-1,Bo,Bo,RLUAN
C576,BR,-3.0,1,Bo,Lo,SCUAN
C577,FL,5.0,7,Bo,Bo,SLOAN
C578,BR,-2.0,-7,Mu,Intra,SCOAN
C579,FL,5.0,-7,Lo,Mu,SCOAI
C58,BR,0.0,2,Lo,Lo,RLOAN
C580,BR,-7.0,1,Bo,Inter,RCOAI
C581,FL,2.0,-5,Bo,Bo,SCOAI
C582,FL,8.0,0,Mu,Intra,RCOAN
C583,FL,0.0,1,Mu,Lo,RCOAN
C584,BL,5.0,-2,Lo,Mu,RCOAN
C585,FL,0.0,4,Mu,Vi,SLOAI
C586,FL,-10.0,7,Inter,Bo,SCOAN
C587,BL,-1.0,-7,Mu,Intra,SLOAI
C588,FL,-6.0,1,Mu,Intra,SCOAN
C589,FL,-6.0,2,Lo,Mu,RCUAN
C59,BR,0.0,2,Lin,Vi,SCOAI
C590,BL,-1.0,8,Bo,Inter,RCUEN
C591,BR,8.0,-13,Lin,Vi,RCOEI
C592,FL,-5.0,-1,Bo,Intra,SCOEN
C593,FL,3.0,-6,Mu,Bo,RLUAN
C594,FL,-2.0,9,Bo,Vi,SCOAI
C595,FR,-11.0,6,Bo,Mu,SCUAN
C596,FL,-6.0,1,Bo,Inter,RLUAI
C597,BL,-5.0,4,Bo,Lin,RCUEN
C598,FL,1.0,-1,Bo,Intra,RLUAI
C599,FL,-2.0,-5,Lo,Inter,RCOAI
C6,BR,-3.0,3,Lo,Lo,SCOAN
C60,BR,2.0,-1,Inter,Lin,SCOAN
C600,FL,3.0,1,Bo,Mu,RCOAN
C601,BL,-3.0,-5,Lo,Mu,SCOAN
C602,BR,-3.0,3,Bo,Bo,SCUAN
C603,FL,-7.0,-3,Bo,Mu,SCUAN
C604,FL,-3.0,4,Bo,Intra,SCUAN
C605,FL,-1.0,4,Mu,Lo,RLUAN
C606,BR,1.0,1,Inter,Lo,SLOAI
C607,BR,-5.0,-2,Lo,Intra,SLUEN
C608,BL,0.0,-4,Intra,Intra,SCOAN
C609,FL,3.0,-2,Mu,Inter,SLOAN
C61,BR,4.0,4,Lin,Vi,SCOAN
C610,BL,-2.0,2,Mu,Inter,RCOAN
C611,FL,-5.0,-1,Mu,Mu,SLUAN
C612,BR,0.0,-6,Lo,Mu,RLUEN
C613,FR,6.0,-1,Lin,Vi,RLOAN
C614,FL,2.0,-6,Mu,Lo,RLOAI
C615,FL,-1.0,5,Mu,Lin,SLUAN
C616,FL,5.0,2,Mu,Intra,SLOAI
C617,BL,3.0,-4,Lin,Lo,SCOEI
C618,FL,-6.0,4,Mu,Lo,RLOAI
C619,FL,4.0,-7,Na,Mu,SCUAI
C62,BR,-3.0,3,Mu,Lo,SCOAN
C620,FL,-2.0,7,Intra,Lin,SCOAN
C621,FL,-6.0,1,Intra,Lin,SLOAN
C622,FL,4.0,3,Lo,Lo,SCOEN
C623,FL,-5.0,7,Bo,Bo,SLOAN
C624,FL,2.0,-1,Na,Lo,RCOAN
C625,FL,1.0,1,Intra,Mu,RLOAI
C626,BL,11.0,-2,Lin,Lo,RLOAN
C627,BL,12.0,0,Mu,Vi,RCOAN
C628,FL,4.0,1,Mu,Intra,RLUAN
C629,FL,0.0,10,Na,Lo,RLUAI
C63,BR,2.0,3,Inter,Lin,SCOAN
C630,BL,-1.0,3,Mu,Vi,SLUAN
C631,FL,-1.0,6,Inter,Intra,SCUAN
C632,BL,-10.0,1,Inter,Intra,RCOAN
C633,BL,8.0,-3,Bo,Bo,RLOAN
C634,BL,-3.0,-3,Intra,Vi,SLOEN
C635,BL,-4.0,-5,Bo,Lo,SCOAI
C636,FL,10.0,-4,Mu,Lo,SCOAI
C637,BR,-8.0,2,Bo,Lo,SLUAN
C638,BL,-1.0,-4,Intra,Lo,RCUEI
C639,FL,3.0,3,Na,Inter,SCOAN
C64,FR,-3.0,-2,Na,Mu,SCOAI
C640,FL,-3.0,3,Mu,Lin,SLUAN
C641,FR,-2.0,-2,Bo,Intra,SLOAI
C642,FL,3.0,6,Inter,Mu,SLOEN
C643,FR,4.0,-8,Lin,Lin,RLOAN
C644,FL,0.0,-1,Lo,Inter,SLUAI
C645,FL,-2.0,4,Intra,Mu,SLUAN
C646,FL,-8.0,3,Intra,Lin,SLUAN
C647,BL,4.0,1,Mu,Vi,RLUAI
C648,FL,-3.0,-6,Mu,Intra,SCOAI
C649,FL,3.0,4,Lin,Intra,RCUAN
C65,BL,1.0,6,Mu,Lo,SCOAN
C650,BR,6.0,2,Na,Mu,RCUAN
C651,FR,-6.0,0,Lin,Vi,SLOAN
C652,FL,2.0,4,Lin,Vi,RLUAN
C653,FL,-2.0,5,Bo,Intra,RLUAN
C654,BL,2.0,-2,Intra,Intra,RCOAN
C655,FL,2.0,-4,Vi,Lo,SLOEN
C656,BL,-8.0,-6,Vi,Bo,RLOAN
C657,BL,-6.0,4,Lo,Inter,SCOAN
C658,FR,-6.0,-3,Inter,Lin,RLOAN
C659,FL,5.0,-3,Lo,Lo,RLUAN
C66,BL,1.0,-1,Intra,Bo,RCUAN
C660,FR,-7.0,10,Lo,Inter,SLUEN
C661,FL,1.0,-4,Lo,Inter,RLOEI
C662,FR,0.0,-1,Na,Lo,RLOEN
C663,BL,0.0,-4,Bo,Vi,SLUEN
C664,FL,0.0,7,Lin,Lo,SCOAN
C665,FL,-5.0,9,Mu,Lin,SCUAN
C666,FL,-2.0,5,Mu,Bo,RLUAN
C667,FL,4.0,-4,Na,Vi,SLOAN
C668,BL,-4.0,3,Mu,Inter,RLOAN
C669,FL,4.0,0,Lin,Lin,RLOAN
C67,BL,7.0,-5,Lo,Intra,RCOAN
C670,FL,3.0,-4,Lo,Intra,RLUAN
C671,FR,-5.0,3,Mu,Lo,SLUAN
C672,FR,-7.0,6,Lin,Lin,SCUAI
C673,FL,0.0,5,Na,Lin,SCOAN
C674,FL,-3.0,2,Mu,Mu,SLOAI
C675,FL,-5.0,0,Mu,Vi,SLUAN
C676,FL,4.0,-4,Bo,Vi,RLUAN
C677,FL,-7.0,1,Mu,Lo,SLOAN
C678,FL,0.0,5,Mu,Inter,SLUAI
C679,FL,3.0,-4,Lin,Inter,SLOAN
C68,BR,-1.0,-4,Vi,Bo,RLOAN
C680,FR,1.0,-3,Bo,Intra,RLOAI
C681,FL,-5.0,7,Intra,Mu,SLUAI
C682,FL,-7.0,-1,Intra,Lo,SLUAN
C683,FL,1.0,7,Lo,Vi,SLUAN
C684,BR,1.0,-5,Inter,Lin,RCOEN
C685,BL,-2.0,3,Lo,Lin,SCOEI
C686,BL,1.0,4,Lo,Inter,RLOAN
C687,FL,-1.0,-5,Mu,Inter,RLOAI
C688,FL,-5.0,5,Inter,Lin,SLUAN
C689,BL,7.0,-3,Lin,Lo,RLOAN
C69,BL,3.0,-2,Mu,Vi,SCOAN
C690,BL,8.0,4,Lo,Inter,RLOAN
C691,FR,2.0,1,Intra,Lo,RLOAN
C692,FR,2.0,-4,Intra,Intra,SLOEN
C693,BR,-13.0,3,Mu,Bo,SLOAN
C694,FL,-13.0,6,Lo,Mu,SLOAN
C695,FL,-8.0,-1,Mu,Vi,SLOEN
C696,FL,0.0,8,Na,Mu,RLOAN
C697,FL,1.0,10,Mu,Vi,SLUAN
C698,FL,-5.0,-2,Na,Mu,SLOAN
C699,BL,-14.0,10,Lo,Mu,SCOAI
C7,BR,-4.0,7,Lin,Inter,SCOAI
C70,FR,-1.0,-4,Bo,Mu,SCUAN
C700,FR,-1.0,-4,Lin,Inter,SLOEI
C701,BR,5.0,0,Inter,Bo,SLUAN
C702,BR,4.0,7,Na,Intra,SCOEN
C703,FL,-5.0,-2,Mu,Mu,RLUEN
C704,FL,0.0,9,Mu,Lin,SLOEN
C705,FL,1.0,5,Lo,Lin,SLOAN
C706,BL,-2.0,7,Inter,Lin,RLOAN
C707,BL,-1.0,0,Bo,Lin,SLOAN
C708,FL,2.0,5,Mu,Inter,SLOAN
C709,FL,-5.0,-4,Bo,Vi,SLOAN
C71,BR,-8.0,5,Inter,Lin,SCOAI
C710,FL,6.0,0,Vi,Intra,SCOAI
C711,FL,-3.0,8,Intra,Bo,SLOAN
C712,FL,2.0,-4,Inter,Lo,RLOAN
C713,FL,3.0,2,Bo,Inter,SCOAN
C714,BL,-10.0,5,Lin,Inter,SCUEN
C715,BR,-6.0,4,Mu,Inter,RLUEN
C716,BR,0.0,-5,Vi,Intra,SCOEN
C717,FL,-1.0,6,Mu,Vi,SLUAN
C718,FL,7.0,-2,Mu,Bo,RCOAI
C719,BL,-9.0,4,Intra,Lo,RLUAI
C72,FR,0.0,0,Bo,Inter,SCUAN
C720,BL,5.0,2,Lo,Mu,SCOAI
C721,FL,1.0,-5,Lo,Lin,SCUAI
C722,FL,-2.0,-7,Mu,Intra,SCOAI
C723,FL,11.0,0,Lo,Vi,SCOAN
C724,BL,11.0,-6,Lo,Intra,RLUAN
C725,BR,-5.0,0,Inter,Lin,RLUAN
C726,FL,3.0,-7,Inter,Lo,RLOAN
C727,FL,-6.0,3,Mu,Lo,RLUAN
C728,FL,-1.0,-2,Mu,Lin,SLUAN
C729,BR,-4.0,8,Mu,Lo,SLOAN
C73,BR,-1.0,-4,Vi,Bo,RLOAN
C730,FL,5.0,4,Lo,Intra,SCUEI
C731,FL,9.0,-4,Lin,Intra,SLUEI
C732,FL,0.0,4,Intra,Vi,RCOAN
C733,BL,-5.0,5,Inter,Lo,SCOAN
C734,BR,-7.0,8,Lin,Bo,SCOAN
C735,BR,0.0,-1,Intra,Bo,SCOAN
C736,FL,0.0,7,Na,Lo,SLOAN
C737,BL,6.0,-9,Na,Bo,SLUEN
C738,FL,-5.0,2,Intra,Bo,SCOAI
C739,FR,7.0,-2,Inter,Lo,SCOAI
C74,BR,-2.0,-9,Lin,Vi,SCOAN
C740,BL,8.0,-5,Na,Mu,RCUEN
C741,FL,-4.0,1,Lo,Lin,RLUAN
C742,BL,-5.0,10,Lin,Lin,SLUAI
C743,BL,-6.0,4,Lin,Vi,SLOAI
C744,BL,4.0,-7,Mu,Bo,SLOAN
C745,FL,-7.0,-2,Mu,Lin,SLOAN
C746,FL,-5.0,8,Mu,Intra,SLOAN
C747,BL,5.0,-5,Na,Lo,SCOAI
C748,FL,-9.0,-3,Mu,Mu,SLOAN
C749,BL,5.0,-2,Lin,Mu,RLUAI
C75,FL,3.0,-6,Vi,Intra,SLUAI
C750,FL,1.0,0,Na,Lo,RLUEN
C751,FL,-6.0,-4,Lin,Inter,SCOAI
C752,BR,-3.0,0,Mu,Vi,SCOEI
C753,BL,3.0,-2,Vi,Lin,SLOAI
C754,BR,-3.0,5,Inter,Bo,SCUAN
C755,FL,27.0,48,Lo,Inter,SLOAN
C756,BL,15.0,35,Mu,Inter,SLOAN
C757,FL,0.0,6,Lin,Lo,RLUAN
C758,FL,0.0,4,Mu,Bo,SLOAN
C759,BL,-77.0,6,Lo,Lo,RCOAN
C76,BR,-5.0,6,Inter,Inter,SCOAN
C760,FL,2.0,-1,Mu,Intra,SLUAN
C761,FL,-6.0,-4,Mu,Lo,SLUAN
C762,BL,-6.0,2,Na,Lin,RLOEN
C763,BL,1.0,4,Na,Lo,RCOAN
C764,FL,1.0,4,Mu,Vi,SLOAN
C765,BR,-6.0,2,Lo,Lo,SLOEN
C766,FL,-1.0,4,Mu,Vi,SCOAN
C767,FL,-1.0,4,Bo,Lo,SCOAN
C768,BR,-4.0,-6,Inter,Intra,SCOAI
C769,BR,5.0,-3,Intra,Intra,RLOAI
C77,BR,7.0,2,Mu,Mu,SCUAN
C770,FL,7.0,-5,Mu,Lin,SLOEN
C771,BL,3.0,7,Lo,Mu,RLOAI
C772,BL,3.0,6,Na,Lo,RLOAN
C773,BR,-6.0,5,Vi,Vi,SLOAN
C774,BR,-1.0,4,Na,Mu,SLOAN
C775,BL,1.0,1,Intra,Lo,RCOEN
C776,FL,-5.0,-2,Lo,Inter,SLOAN
C777,BL,0.0,-4,Lo,Lo,SCOAI
C778,FL,3.0,-2,Mu,Vi,RLOAN
C779,FL,-2.0,2,Bo,Mu,SLOAN
C78,BL,-7.0,6,Lo,Inter,RLUAN
C780,BR,-5.0,-1,Na,Lo,RCUAI
C781,BR,0.0,-6,Mu,Lin,SCOEN
C782,BL,6.0,-1,Lo,Lin,SLOEN
C783,BR,2.0,-6,Na,Mu,RLOAN
C784,BL,-1.0,5,Inter,Bo,SLUAI
C785,FL,5.0,2,Bo,Vi,SCOEN
C786,FR,3.0,-4,Inter,Lo,SLOAN
C787,FL,-6.0,4,Mu,Mu,RLOAI
C788,BR,4.0,-7,Bo,Vi,SCUEN
C789,BR,-2.0,7,Mu,Mu,SLUEN
C79,BL,2.0,0,Na,Lin,SCOAN
C790,BL,-6.0,1,Na,Mu,RLUAN
C791,BL,4.0,3,Lo,Intra,RCOAN
C792,FL,-5.0,7,Lo,Bo,RCOAN
C793,BL,2.0,-1,Mu,Lo,SCOAI
C794,FL,1.0,1,Intra,Bo,SLUEI
C795,BL,11.0,-2,Na,Mu,RCOAN
C796,BR,12.0,0,Bo,Vi,RLOAN
C797,BL,4.0,1,Lo,Mu,RCOEI
C798,FL,0.0,10,Lo,Vi,SLOAN
C799,BL,-1.0,3,Bo,Inter,RCOAI
C8,BR,7.0,-4,Inter,Lo,SLOAN
C80,BR,2.0,5,Lo,Vi,SCUEI
C800,BL,-1.0,6,Lin,Lin,SCOEN
C801,FR,-10.0,1,Lo,Inter,RLOAN
C802,BL,8.0,-3,Mu,Bo,SCOEN
C803,FL,-3.0,-3,Bo,Mu,SLUEN
C804,BL,-4.0,-5,Mu,Lo,RLUAI
C805,BL,10.0,-4,Inter,Lo,SLOAN
C806,BR,-8.0,2,Mu,Mu,SCOAI
C807,BR,-1.0,-4,Bo,Lo,SLOAN
C808,FL,3.0,3,Mu,Lo,RCUAN
C809,BR,-3.0,3,Vi,Mu,SCUEI
C81,FR,18.0,0,Inter,Inter,SCOAI
C810,FL,-2.0,-2,Inter,Bo,RLOAN
C811,BL,3.0,6,Inter,Mu,SCUAN
C812,BL,4.0,-8,Lo,Bo,SCUAN
C813,BL,0.0,-1,Mu,Vi,SLOEN
C814,FR,-2.0,4,Vi,Mu,RLUAI
C815,BL,-8.0,3,Mu,Mu,SCUEN
C816,BR,4.0,1,Inter,Inter,RLOAN
C817,BL,-3.0,-6,Intra,Mu,SCOAI
C818,FL,3.0,4,Lin,Vi,RCUEN
C819,FL,6.0,2,Lin,Mu,RLUEN
C82,BR,4.0,7,Inter,Inter,RCOAN
C820,BL,-6.0,0,Lo,Mu,SLOAN
C821,BL,2.0,4,Na,Mu,SCOAN
C822,FL,-2.0,5,Mu,Bo,SLOEN
C823,FL,2.0,-2,Inter,Lo,SLUAN
C824,BL,2.0,-4,Intra,Intra,SCUEN
C825,BL,-8.0,-6,Mu,Inter,RLOAN
C826,BR,-6.0,4,Mu,Lo,SCOEI
C827,FL,-6.0,-3,Lo,Mu,RLOEN
C828,FL,5.0,-3,Lo,Intra,SCOEI
C829,BL,-7.0,10,Inter,Lo,SCUAN
C83,FR,-4.0,-3,Na,Lo,SLOAN
C830,BL,1.0,-4,Mu,Inter,SLOEI
C831,BR,0.0,-1,Lo,Lo,RLUEN
C832,BR,0.0,-4,Mu,Bo,SLUAN
C833,FL,0.0,7,Intra,Mu,SLUAN
C834,FR,-5.0,9,Lo,Intra,RLOAN
C835,FL,-2.0,5,Mu,Lo,RCOEN
C836,BL,4.0,-4,Lo,Lin,SCOAN
C837,FR,-4.0,3,Lo,Lo,SLOAN
C838,BL,4.0,0,Intra,Lin,RLOEN
C839,BL,3.0,-4,Bo,Vi,RLOEN
C84,FL,-2.0,-3,Bo,Vi,RLOAN
C840,BL,-5.0,3,Lo,Bo,SLOAN
C841,BL,-7.0,6,Lin,Lin,SLOAN
C842,FL,0.0,5,Inter,Lin,SLOAN
C843,FL,-3.0,2,Lo,Lo,RCUEN
C844,FL,-5.0,0,Lin,Vi,SLOEN
C845,FL,4.0,-4,Inter,Lin,RLOEN
C846,FL,-7.0,1,Lo,Mu,SCOAN
C847,FR,0.0,5,Lo,Lin,RLOEN
C848,FL,3.0,-4,Lin,Lin,SLOAN
C849,BL,1.0,-3,Lin,Bo,SCUAN
C85,BR,-1.0,0,Inter,Lin,SLOAI
C850,BL,-5.0,7,Lin,Mu,SCOAN
C851,FL,-7.0,-1,Mu,Intra,RCUAN
C852,FL,1.0,7,Mu,Lo,SLOEN
C853,FL,1.0,-5,Inter,Lin,SLUAN
C854,BL,-2.0,3,Bo,Intra,RLOEN
C855,FL,1.0,4,Intra,Mu,RCOAN
C856,BR,-1.0,-5,Intra,Inter,SCUEI
C857,FL,-5.0,5,Mu,Vi,SLOAN
C858,BL,7.0,-3,Na,Lin,SLOAN
C859,FL,8.0,4,Inter,Vi,RLUEN
C86,BL,0.0,2,Lo,Vi,SCOAN
C860,BL,2.0,1,Intra,Lin,RLOAN
C861,FR,2.0,-4,Mu,Lo,RLOAN
C862,BL,-13.0,3,Lin,Bo,RLOAI
C863,FL,-13.0,6,Intra,Mu,SLOAN
C864,BR,-8.0,-1,Intra,Lin,SCOAI
C865,BL,0.0,8,Bo,Bo,SCOAN
C866,BL,1.0,10,Inter,Lin,RLUEN
C867,BL,-5.0,-2,Mu,Vi,SCOAN
C868,FL,-14.0,10,Mu,Vi,SLOAN
C869,BL,-1.0,-4,Na,Mu,RCOAN
C87,BR,-2.0,0,Mu,Vi,SCUAI
C870,FL,5.0,0,Inter,Mu,RCOAI
C871,FL,4.0,7,Inter,Vi,RLUAI
C872,BL,-5.0,-2,Mu,Intra,SCOAN
C873,FL,0.0,9,Mu,Mu,RCUAN
C874,FL,1.0,5,Mu,Mu,SLOEI
C875,BR,-2.0,7,Lo,Lo,SLOAN
C876,BL,-1.0,0,Lo,Lo,RCUEN
C877,BR,2.0,5,Inter,Lin,SCOAN
C878,BL,-5.0,-4,Lo,Inter,RLUAI
C879,FL,6.0,0,Mu,Lo,RCOAN
C88,BR,1.0,-2,Mu,Vi,SCOAI
C880,FL,-3.0,8,Mu,Mu,SLUAN
C881,BR,2.0,-4,Na,Lin,RLOAI
C882,FL,3.0,2,Lo,Lo,SCUEN
C883,BR,-10.0,5,Mu,Lo,SLUEI
C884,FL,-6.0,4,Na,Mu,SLUAN
C885,BL,0.0,-5,Na,Inter,RLUAN
C886,FL,-1.0,6,Mu,Vi,SLUAN
C887,FL,7.0,-2,Lin,Bo,RLOAN
C888,BL,-9.0,4,Mu,Lin,SLOAI
C889,FL,4.0,-2,Mu,Intra,RCUEN
C89,BR,2.0,1,Vi,Vi,SLOAN
C890,FL,-8.0,5,Inter,Lo,RCOAN
C891,FL,-1.0,-2,Bo,Lin,SCOEN
C892,FL,0.0,3,Lo,Inter,RLOAN
C893,FL,0.0,-4,Lo,Mu,SLOEI
