CID,BD,LSI,MI,PERSONALITY
C752,PBD,RO,M3,P4
C753,PBD,AE,M3,P6
C754,BR,RO,M2,P7
C755,PBD,CE,M4,P9
C756,PBD,AE,M2,P9
C757,PBD,AE,M3,P14
C758,PBD,RO,M2,P9
C759,PBD,AE,M2,P5
C76,BR,AE,M2,P3
C760,FR,CE,M3,P13
C761,PBD,AE,M1,P13
C762,PBD,AE,M4,P14
C763,PBD,AE,M3,P5
C764,FR,AE,M3,P9
C765,BR,AE,M2,P13
C766,FR,AE,M2,P3
C767,FR,CE,M3,P3
C768,PBD,RO,M3,P1
C769,BR,AC,M4,P6
C77,PBD,RO,M3,P7
C770,PBD,AC,M2,P13
C771,PBD,AC,M3,P6
C772,PBD,AE,M2,P9
C773,BR,AE,M4,P9
C774,BR,AE,M2,P9
C775,PBD,CE,M3,P8
C776,PBD,CE,M2,P9
C777,PBD,RO,M2,P1
C778,PBD,AE,M2,P9
C779,PBD,AE,M3,P9
C78,DB,AE,M3,P14
C780,PBD,CE,M3,P10
C781,PBD,AC,M3,P4
C782,BL,CE,M5,P13
C783,PBD,AE,M2,P9
C784,PBD,AC,M3,P10
C785,PBD,RO,M2,P4
C786,PBD,AE,M3,P9
C787,FR,RO,M2,P6
C788,PBD,AE,M2,P7
C789,BR,AE,M3,P13
C79,DB,AE,M2,P3
C790,PBD,AC,M3,P14
C791,PBD,AE,M1,P5
C792,PBD,AE,M2,P5
C793,PBD,AE,M2,P1
C794,PBD,RO,M4,P11
C795,PBD,AC,M3,P5
C796,BR,AC,M3,P9
C797,PBD,AE,M3,P8
C798,FR,AE,M4,P9
C799,BL,RO,M2,P2
C8,PBD,AE,M2,P9
C80,BR,AE,M3,P7
C800,PBD,AE,M3,P4
C801,PBD,RO,M4,P9
C802,PBD,CE,M4,P4
C803,PBD,CE,M2,P13
C804,BL,RO,M4,P10
C805,PBD,AE,M3,P9
C806,PBD,CE,M2,P1
C807,PBD,AC,M2,P9
C808,PBD,AE,M2,P14
C809,BR,AE,M2,P7
C81,BPBD,CE,M2,P1
C810,PBD,AC,M2,P9
C811,PBD,RO,M3,P7
C812,PBD,AE,M2,P7
C813,PBD,AE,M2,P13
C814,PBD,AE,M3,P10
C815,PBD,AC,M2,P7
C816,PBD,CE,M4,P9
C817,BL,AC,M2,P1
C818,FR,AC,M3,P14
C819,FR,AC,M2,P14
C82,BR,AE,M3,P5
C820,BL,AE,M2,P9
C821,PBD,AE,M3,P3
C822,FR,CE,M3,P13
C823,PBD,CE,M2,P13
C824,PBD,CE,M2,P7
C825,PBD,AE,M3,P9
C826,PBD,CE,M1,P4
C827,PBD,RO,M4,P14
C828,PBD,AE,M2,P4
C829,PBD,CE,M4,P7
C83,T1,CE,M2,P9
C830,PBD,AE,M4,P11
C831,PBD,CE,M4,P14
C832,BR,AE,M2,P13
C833,PBD,AE,M2,P13
C834,FL,AE,M4,P9
C835,PBD,RO,M2,P8
C836,PBD,AE,M4,P3
C837,PBD,AC,M3,P9
C838,PBD,RO,M2,P14
C839,PBD,CE,M2,P14
C84,PBD,AE,M3,P9
C840,PBD,AE,M2,P9
C841,PBD,AE,M2,P9
C842,PBD,AE,M3,P9
C843,FR,AE,M2,P14
C844,PBD,RO,M2,P13
C845,PBD,AE,M2,P14
C846,PBD,AE,M3,P3
C847,PBD,RO,M3,P14
C848,PBD,CE,M2,P9
C849,PBD,AE,M2,P7
C85,BPBD,AE,M3,P6
C850,PBD,AE,M2,P3
C851,PBD,AE,M4,P14
C852,PBD,CE,M3,P13
C853,FR,AE,M4,P13
C854,BL,AE,M2,P14
C855,PBD,CE,M2,P5
C856,BR,AE,M2,P7
C857,PBD,RO,M2,P9
C858,PBD,AC,M2,P9
C859,FR,AE,M2,P14
C86,PBD,AE,M3,P3
C860,PBD,CE,M2,P9
C861,PBD,AE,M4,P9
C862,PBD,RO,M1,P6
C863,PBD,AE,M3,P9
C864,PBD,AE,M2,P1
C865,PBD,AE,M2,P3
C866,PBD,CE,M2,P14
C867,PBD,AC,M3,P3
C868,FR,CE,M3,P9
C869,BL,AE,M3,P5
C87,BR,AC,M3,P7
C870,FR,AC,M2,P2
C871,PBD,CE,M3,P10
C872,PBD,AE,M2,P3
C873,PBD,AE,M2,P14
C874,FR,AE,M2,P11
C875,PBD,AE,M2,P9
C876,PBD,AE,M3,P14
C877,BR,CE,M3,P3
C878,PBD,AC,M3,P10
C879,PBD,CE,M4,P5
C88,BPBD,AE,M3,P1
C880,PBD,CE,M3,P13
C881,BR,AC,M2,P6
C882,FR,AE,M1,P7
C883,PBD,AE,M2,P11
C884,PBD,CE,M2,P13
C885,PBD,AE,M4,P14
C886,PBD,RO,M3,P13
C887,FR,AE,M2,P9
C888,PBD,RO,M2,P6
C889,PBD,AE,M2,P14
C89,BR,AE,M2,P9
C890,FR,CE,M3,P5
C891,PBD,AE,M2,P4
C892,PBD,CE,M3,P9
C893,PBD,AE,M3,P11
C894,PBD,AE,M3,P13
C895,PBD,CE,M2,P9
C896,PBD,AE,M2,P13
C897,PBD,AE,M3,P9
C898,FR,AE,M3,P13
C899,PBD,AE,M3,P10
C9,WBD,AE,M1,P3
C90,BR,RO,M4,P13
C900,PBD,CE,M3,P3
C901,PBD,AE,M3,P14
C902,PBD,RO,M4,P6
C903,PBD,CE,M2,P9
C904,PBD,CE,M3,P3
C905,PBD,AE,M3,P10
C906,FR,RO,M2,P8
C907,PBD,CE,M1,P13
C908,PBD,CE,M2,P9
C909,PBD,AC,M3,P13
C91,BL,CE,M2,P3
C910,PBD,CE,M4,P3
C911,PBD,AE,M2,P14
C912,PBD,AE,M3,P13
C913,PBD,AE,M2,P6
C914,PBD,AE,M2,P13
C915,PBD,CE,M2,P13
C916,PBD,AE,M2,P1
C917,BL,AE,M1,P9
C918,PBD,AE,M3,P9
C919,PBD,AE,M1,P14
C92,DB,AE,M2,P3
C920,FR,AE,M2,P13
C921,PBD,AE,M3,P14
C922,BL,CE,M3,P14
C923,PBD,CE,M3,P14
C924,PBD,AE,M1,P5
C925,PBD,AC,M2,P11
C926,PBD,AE,M3,P13
C927,PBD,AE,M1,P13
C928,PBD,AC,M3,P13
C929,PBD,AC,M2,P9
C93,PBD,AE,M6,P14
C930,PBD,AE,M3,P9
C931,FR,AC,M3,P13
C932,PBD,AE,M2,P3
C933,PBD,AE,M2,P12
C934,PBD,AE,M4,P13
C935,PBD,AE,M4,P14
C936,PBD,AE,M2,P3
C937,FL,RO,M2,P9
C938,PBD,AE,M3,P1
C939,PBD,AE,M2,P7
C94,DB,CE,M3,P5
C940,PBD,CE,M2,P1
C941,PBD,RO,M2,P3
C942,PBD,CE,M3,P14
C943,PBD,AE,M2,P9
C944,PBD,AE,M3,P10
C945,PBD,CE,M2,P14
C946,PBD,AE,M3,P6
C947,PBD,AE,M3,P12
C948,FR,AC,M2,P13
C949,PBD,AE,M2,P13
C95,WBD,AC,M2,P11
C950,PBD,AE,M2,P3
C951,PBD,AC,M1,P6
C952,PBD,AE,M3,P13
C953,PBD,AE,M4,P14
C954,FR,AE,M2,P14
C955,PBD,AE,M3,P7
C956,PBD,AE,M2,P9
C957,PBD,AC,M4,P9
C958,PBD,AE,M4,P3
C959,PBD,AC,M2,P13
C96,BR,CE,M2,P3
C960,PBD,AE,M3,P3
C961,PBD,AE,M3,P7
C962,PBD,AC,M2,P12
C963,FR,AE,M4,P7
C964,PBD,AE,M2,P13
C965,PBD,AE,M3,P6
C966,PBD,CE,M3,P9
C967,PBD,AE,M4,P3
C968,PBD,AC,M3,P3
C969,PBD,AE,M2,P13
C97,T2,CE,M2,P8
C970,PBD,RO,M2,P1
C971,PBD,AC,M3,P9
C972,PBD,AE,M3,P7
C973,PBD,AE,M2,P5
C974,FR,AE,M3,P6
C975,FR,AE,M2,P4
C976,PBD,AC,M4,P5
C977,PBD,AE,M2,P13
C978,PBD,AE,M4,P7
C979,PBD,RO,M3,P11
C98,FBD,AE,M2,P3
C980,PBD,CE,M2,P7
C981,PBD,AE,M2,P1
C982,PBD,CE,M4,P11
C983,PBD,AE,M3,P8
C984,PBD,RO,M2,P12
C985,FR,AE,M4,P6
C986,PBD,CE,M4,P14
C987,PBD,AC,M2,P13
C988,FR,AE,M3,P9
C989,PBD,AE,M3,P4
C99,T1,AE,M2,P9
C990,PBD,RO,M3,P1
C991,FR,AE,M2,P9
C992,PBD,AE,M3,P9
C993,BR,AE,M3,P4
C994,PBD,AE,M3,P13
C995,FR,CE,M2,P13
C996,PBD,AE,M3,P6
C997,PBD,AE,M2,P5
C998,FR,AE,M3,P13
C999,PBD,CE,M2,P6
