CID,BD,LSI,MI,PERSONALITY
C14,BR,AE,M2,P7
C140,T2,RO,M2,P7
C141,WBD,AE,M3,P5
C142,BPBD,AE,M2,P14
C143,WBD,AE,M3,P3
C144,FBD,RO,M2,P1
C145,PBD,AE,M4,P13
C146,DB,AE,M6,P9
C147,T1,AE,M2,P14
C148,BPBD,AE,M3,P14
C149,PBD,AC,M3,P3
C15,WBD,CE,M2,P3
C150,BPBD,AE,M4,P12
C151,DB,AE,M4,P1
C152,BR,AE,M2,P12
C153,DB,CE,M1,P3
C154,BPBD,RO,M3,P6
C155,BPBD,AE,M3,P5
C156,PBD,AE,M3,P3
C157,WBD,AE,M2,P3
C158,T1,AE,M3,P3
C159,BPBD,AE,M2,P7
C16,WBD,CE,M1,P1
C160,DB,AE,M3,P3
C161,FR,AE,M2,P3
C162,BPBD,AE,M2,P3
C163,BR,AE,M3,P3
C164,BPBD,AE,M4,P9
C165,DB,AE,M3,P7
C166,DL,CE,M3,P9
C167,BPBD,CE,M2,P3
C168,BPBD,AE,M3,P1
C169,BL,AC,M2,P14
C17,PBD,AC,M3,P1
C170,DB,AE,M2,P1
C171,BPBD,AE,M4,P10
C172,BPBD,AC,M3,P7
C173,WBD,AE,M3,P3
C174,PBD,AE,M4,P4
C175,BPBD,AC,M2,P3
C176,BPBD,AC,M4,P14
C177,T3,AE,M2,P3
C178,PBD,AE,M3,P7
C179,PBD,AE,M4,P5
C18,BPBD,AC,M2,P7
C180,BR,AE,M2,P6
C181,DR,AC,M2,P14
C182,BR,CE,M2,P9
C183,WBD,CE,M2,P9
C184,T2,AE,M2,P1
C185,DB,AC,M2,P5
C186,PBD,AE,M4,P8
C187,PBD,AC,M3,P10
C188,PBD,AE,M3,P9
C189,BR,AC,M4,P1
C19,T2,RO,M6,P9
C190,BPBD,AE,M3,P6
C191,BPBD,CE,M3,P1
C192,PBD,AE,M2,P12
C193,PBD,RO,M4,P13
C194,T1,RO,M4,P7
C195,T2,AC,M3,P11
C196,FBD,AE,M6,P14
C197,BPBD,AE,M4,P9
C198,PBD,CE,M2,P11
C199,PBD,AE,M3,P5
C2,T2,AE,M1,P3
C20,WBD,CE,M1,P3
C200,T1,AE,M2,P3
C201,PBD,AE,M3,P12
C202,BPBD,CE,M3,P1
C203,FBD,AE,M2,P7
C204,BL,AE,M2,P3
C205,PBD,AE,M2,P14
C206,BPBD,CE,M3,P5
C207,BL,AE,M3,P2
C208,BR,AE,M3,P14
C209,PBD,AC,M2,P1
C21,BPBD,AE,M2,P13
