BD DIFF,LSI DIFF,MI DIFF,B5 DIFF,PERFORMANCE,CID
13,-8,74,25,  POOR,C114
-19,1,-52,19,  AVERAGE,C1140
-7,-2,-18,1,  GOOD,C1141
-7,6,3,-15,Excellent,C1142
-7,-3,-59,-5,Excellent,C1143
-7,0,-9,1,  GOOD,C1144
4,0,-28,-1,  POOR,C115
-4,-3,-30,-4,  POOR,C116
7,-4,-31,-1,  POOR,C117
-1,2,-23,17,  POOR,C118
3,5,-64,9,  ,C119
4,-2,-10,-17,  GOOD,C12
6,-3,-71,-4,Excellent,C120
14,-2,-61,11,  GOOD,C121
4,-2,-1,13,  GOOD,C122
15,-7,42,-23,  AVERAGE,C123
20,-7,45,-13,  POOR,C124
25,9,-27,6,  POOR,C125
17,9,-30,5,  POOR,C126
24,-1,-9,-6,  POOR,C127
-3,5,62,17,Excellent,C128
7,5,109,17,Excellent,C129
5,-4,23,7,Excellent,C13
11,5,20,21,Excellent,C130
25,-4,8,-6,  GOOD,C131
-3,-15,1,-9,  GOOD,C132
28,-2,66,8,  GOOD,C133
-5,-2,-102,-8,  AVERAGE,C134
8,1,15,-7,  POOR,C135
8,3,40,-6,  POOR,C136
-13,0,-34,-7,  POOR,C137
14,2,-11,-1,  POOR,C138
3,1,0,3,  POOR,C139
9,-2,5,5,  POOR,C14
18,0,19,8,  POOR,C140
26,4,-4,2,  POOR,C141
1,0,8,0,  POOR,C142
25,-1,19,-23,  POOR,C143
10,3,20,-5,  GOOD,C144
-4,-4,-45,7,Excellent,C145
8,-1,-41,-13,Excellent,C146
22,1,25,53,  POOR,C147
7,2,11,46,  POOR,C148
3,3,-14,-25,  AVERAGE,C149
21,-2,30,-16,  GOOD,C15
5,0,-7,6,  GOOD,C150
9,-3,-20,-14,Excellent,C151
6,2,-3,-1,Excellent,C152
22,0,33,-24,Excellent,C153
3,1,-21,4,Excellent,C154
0,-1,-19,-5,  GOOD,C155
-4,-2,-2,-4,  GOOD,C156
20,0,26,-23,  GOOD,C157
24,-2,12,-27,  AVERAGE,C158
11,1,-2,1,  POOR,C159
24,0,49,-46,  POOR,C16
7,-1,-25,-8,  POOR,C160
